BBL,borough,zip5,median_household_income,res_unit,eviction_count,hpd_2025_habitability_count,hpd_2025_strict_count,vacate_count,litigation_count,is_aep,lien_amount,water,C,I,dob_violations,winner_score,baseline_score
1022370023,MN,10034,69786.0,70.0,10.0,294.0,201.0,0.0,6.0,False,9639.0,114902.4,446.0,0.0,19.0,186.4,2.75
1019370036,MN,10027,64220.0,24.0,11.0,291.0,280.0,0.0,8.0,False,77072.0,305245.79,611.0,0.0,325.0,254.9,106.27
2030980001,BX,10457,44911.0,86.0,2.0,289.0,220.0,1.0,14.0,False,621532.0,0.0,891.0,5.0,507.0,464.6,75.16
3050840097,BK,11226,81084.0,120.0,19.0,288.0,267.0,1.0,4.0,False,33068.0,111105.47,1105.0,24.0,70.0,427.5,76.49
4080920005,QN,11363,110833.0,148.0,21.0,287.0,210.0,0.0,3.0,False,12479.0,0.0,261.0,0.0,406.0,537.7,63.56
3067480016,BK,11230,69522.0,35.0,0.0,286.0,238.0,0.0,0.0,False,59669.0,0.0,521.0,1.0,308.0,309.2,151.83
2024430170,BX,10451,37111.0,1248.0,34.0,284.0,238.0,1.0,4.0,False,231837.0,902985.1,418.0,12.0,1144.0,750.8,25.48
4051820074,QN,11355,53700.0,84.0,5.0,282.0,174.0,2.0,1.0,False,471193.0,564612.03,478.0,0.0,571.0,511.4,60.97
2033240011,BX,10467,47806.0,91.0,3.0,280.0,259.0,0.0,8.0,False,123954.0,0.0,595.0,0.0,47.0,255.0,102.95
1021700016,MN,10040,64022.0,88.0,0.0,280.0,209.0,1.0,4.0,False,17209.0,0.0,614.0,0.0,40.0,256.0,35.38
1019010001,MN,10026,74140.0,100.0,14.0,275.0,262.0,0.0,7.0,False,23180.0,0.0,760.0,0.0,181.0,255.7,11.7
2029870025,BX,10459,39276.0,84.0,12.0,275.0,205.0,2.0,9.0,False,581542.0,0.0,694.0,1.0,321.0,405.3,32.69
1022430372,MN,10034,69786.0,73.0,1.0,273.0,266.0,0.0,7.0,False,21272.0,124526.7,257.0,0.0,353.0,191.4,53.69
4049950001,QN,11354,62833.0,175.0,19.0,266.0,175.0,3.0,3.0,True,41390.0,664450.61,919.0,14.0,100.0,415.1,1.09
4014570034,QN,11372,77133.0,110.0,8.0,257.0,194.0,1.0,2.0,True,127821.0,206480.05,1031.0,6.0,646.0,552.9,40.87
3036280001,BK,11212,40060.0,425.0,137.0,251.0,178.0,3.0,15.0,False,37639.0,0.0,1603.0,14.0,208.0,542.4,25.46
2024830015,BX,10451,37111.0,84.0,22.0,250.0,221.0,1.0,0.0,False,86785.0,0.0,537.0,8.0,535.0,345.9,32.92
2031790057,BX,10453,35482.0,33.0,2.0,243.0,200.0,1.0,27.0,True,91370.0,289396.41,871.0,0.0,35.0,216.2,132.34
1020480016,MN,10030,42738.0,54.0,11.0,241.0,219.0,0.0,2.0,False,20515.0,0.0,663.0,0.0,177.0,320.9,39.12
1022230005,MN,10034,69786.0,72.0,7.0,241.0,194.0,1.0,18.0,False,109599.0,205166.75,489.0,2.0,43.0,235.2,144.86
1021390335,MN,10032,56588.0,48.0,6.0,241.0,208.0,0.0,2.0,False,23482.0,0.0,506.0,0.0,67.0,199.4,32.01
1016940005,MN,10029,38308.0,323.0,42.0,240.0,195.0,2.0,6.0,False,1029578.0,154739.23,1010.0,2.0,47.0,438.2,127.29
3012230076,BK,11213,62040.0,20.0,2.0,239.0,210.0,0.0,0.0,False,309949.0,721097.25,296.0,0.0,79.0,186.5,35.4
3050820079,BK,11226,81084.0,59.0,5.0,238.0,164.0,0.0,6.0,True,84120.0,162177.2,596.0,0.0,126.0,204.8,13.67
2030690063,BX,10457,44911.0,27.0,3.0,238.0,168.0,0.0,16.0,True,34984.0,0.0,1405.0,3.0,30.0,347.2,51.25
2024600001,BX,10451,37111.0,298.0,0.0,237.0,221.0,0.0,8.0,False,2061661.0,116978.29000000001,978.0,0.0,1679.0,614.8,100.87
2027460001,BX,10459,39276.0,45.0,9.0,236.0,189.0,1.0,57.0,True,70541.0,486517.2,1193.0,0.0,181.0,378.7,82.94
3063310006,BK,11214,64286.0,94.0,6.0,236.0,210.0,0.0,0.0,False,17244.0,55634.130000000005,474.0,0.0,71.0,224.6,7.87
4021040001,QN,11374,86333.0,200.0,4.0,236.0,182.0,1.0,3.0,False,413499.0,126770.08,437.0,0.0,80.0,234.7,14.71
1021770130,MN,10033,75585.0,25.0,0.0,231.0,158.0,1.0,0.0,False,39558.0,91688.39,763.0,45.0,33.0,269.5,57.34
1017750165,MN,10035,40556.0,157.0,12.0,228.0,204.0,0.0,9.0,False,275369.0,366871.14999999997,888.0,0.0,103.0,310.2,107.96
4014300029,QN,11372,77133.0,29.0,0.0,228.0,174.0,0.0,0.0,True,213839.0,1159038.07,458.0,10.0,245.0,271.4,124.8
2028610057,BX,10453,35482.0,72.0,4.0,227.0,206.0,0.0,6.0,True,434003.0,1365328.95,1563.0,7.0,119.0,554.9,58.01
3052080025,BK,11226,81084.0,79.0,2.0,227.0,191.0,0.0,12.0,False,244454.0,0.0,406.0,0.0,480.0,338.9,67.09
3045167501,BK,11208,59988.0,322.0,52.0,225.0,199.0,1.0,6.0,False,31406.0,0.0,714.0,0.0,0.0,229.8,25.72
2033280039,BX,10467,47806.0,77.0,5.0,224.0,196.0,1.0,5.0,True,735957.0,525034.41,727.0,6.0,208.0,540.0,37.15
3060370006,BK,11209,92656.0,51.0,0.0,224.0,193.0,1.0,0.0,True,2755606.0,2082464.81,1308.0,104.0,499.0,739.7,12.7
1021570050,MN,10033,75585.0,80.0,8.0,223.0,165.0,1.0,9.0,False,69529.0,0.0,599.0,6.0,117.0,262.8,45.6
3052400001,BK,11230,69522.0,59.0,12.0,221.0,186.0,0.0,2.0,True,251494.0,1325177.63,1271.0,3.0,151.0,494.5,9.02
1012530021,MN,10025,109195.0,145.0,0.0,220.0,220.0,0.0,1.0,False,1126047.0,113555.22,169.0,0.0,272.0,201.8,13.3
3049810050,BK,11210,83261.0,420.0,83.0,219.0,168.0,4.0,22.0,True,1287081.0,0.0,2039.0,6.0,1003.0,721.4,60.34
2028660004,BX,10453,35482.0,51.0,2.0,219.0,193.0,0.0,1.0,False,27123.0,0.0,583.0,0.0,168.0,242.1,3.84
2031600014,BX,10453,35482.0,41.0,6.0,218.0,179.0,1.0,22.0,True,87070.0,2145571.38,895.0,3.0,28.0,311.9,38.76
2036000025,BX,10473,50609.0,948.0,0.0,218.0,198.0,4.0,4.0,False,3677.0,0.0,493.0,0.0,381.0,233.7,47.06
2033200044,BX,10458,42107.0,63.0,2.0,217.0,192.0,0.0,0.0,True,61878.0,0.0,583.0,0.0,34.0,200.5,105.17
2048200042,BX,10466,66328.0,89.0,40.0,216.0,204.0,2.0,5.0,False,161179.0,0.0,155.0,26.0,339.0,218.9,22.09
2045940001,BX,10467,47806.0,59.0,12.0,216.0,144.0,0.0,0.0,True,63077.0,3668.92,1265.0,3.0,27.0,348.8,41.02
2028720320,BX,10452,37854.0,90.0,10.0,216.0,180.0,0.0,5.0,False,40382.0,97319.88,984.0,0.0,30.0,253.8,29.47
5012720011,SI,10303,79429.0,536.0,95.0,215.0,183.0,2.0,21.0,False,193519.0,79893.37000000001,2707.0,55.0,128.0,622.7,105.93
3043550001,BK,11207,55419.0,740.0,38.0,215.0,168.0,1.0,5.0,False,200.0,13538844.7,671.0,0.0,167.0,393.5,0.0
4097120102,QN,11435,79430.0,252.0,17.0,215.0,188.0,3.0,4.0,False,58701.0,98583.09,740.0,4.0,164.0,324.2,18.76
2042570040,BX,10462,63460.0,43.0,2.0,213.0,186.0,1.0,0.0,True,54959.0,185622.65,524.0,5.0,210.0,267.9,99.29
2033440056,BX,10467,47806.0,27.0,0.0,212.0,209.0,0.0,6.0,False,21609.0,-123.27,355.0,0.0,65.0,206.0,34.68
4092810044,QN,11418,84927.0,117.0,3.0,211.0,179.0,0.0,5.0,False,32879.0,55572.0,567.0,0.0,11.0,218.0,5.07
3012670010,BK,11225,85201.0,72.0,8.0,210.0,178.0,0.0,6.0,False,645327.0,1737388.56,958.0,0.0,623.0,535.1,57.6
1020320043,MN,10039,48792.0,41.0,5.0,209.0,173.0,0.0,3.0,False,18264.0,2861220.51,400.0,0.0,179.0,379.4,131.95
1022480117,MN,10034,69786.0,84.0,0.0,205.0,195.0,0.0,3.0,False,15351.0,0.0,542.0,0.0,10.0,274.2,26.97
1013730030,MN,10044,106146.0,1003.0,37.0,204.0,163.0,4.0,13.0,False,1052.0,1475703.27,325.0,1.0,528.0,285.0,2.01
2024660001,BX,10452,37854.0,46.0,23.0,203.0,161.0,0.0,1.0,True,4989.0,0.0,950.0,7.0,12.0,395.0,19.76
2054090041,BX,10465,90255.0,130.0,2.0,203.0,194.0,0.0,0.0,False,44069.0,78350.61,192.0,0.0,262.0,282.6,37.91
2025260090,BX,10452,37854.0,400.0,42.0,201.0,164.0,1.0,32.0,False,45303.0,0.0,1224.0,3.0,95.0,381.2,64.32
2033320072,BX,10467,47806.0,51.0,5.0,201.0,142.0,0.0,12.0,False,59001.0,126351.88,240.0,1.0,276.0,262.6,35.89
1020330038,MN,10039,48792.0,107.0,8.0,199.0,158.0,0.0,0.0,False,21368.0,0.0,464.0,0.0,229.0,208.5,16.87
2046490031,BX,10467,47806.0,60.0,47.0,198.0,176.0,3.0,13.0,False,57169.0,376709.5,360.0,2.0,270.0,251.2,91.27
2032510490,BX,10468,46624.0,871.0,37.0,198.0,154.0,2.0,26.0,False,54710.0,0.0,1220.0,9.0,1067.0,762.6,16.64
2024580026,BX,10451,37111.0,101.0,32.0,198.0,189.0,2.0,0.0,False,123438.0,1562124.61,459.0,0.0,690.0,409.0,42.44
1008570066,MN,10016,153065.0,416.0,7.0,196.0,161.0,1.0,0.0,False,66989.0,0.0,351.0,1.0,388.0,244.6,25.7
4068070002,QN,11367,75804.0,120.0,8.0,194.0,171.0,0.0,4.0,False,32049.0,4683740.88,575.0,0.0,43.0,340.6,1.5
3011890060,BK,11225,85201.0,321.0,43.0,193.0,168.0,0.0,4.0,False,4538.0,0.0,463.0,0.0,521.0,387.0,14.32
3016910012,BK,11233,62034.0,287.0,30.0,193.0,163.0,3.0,9.0,False,104206.0,10674128.95,956.0,3.0,418.0,447.3,79.46
2030050077,BX,10460,36067.0,31.0,7.0,193.0,146.0,2.0,0.0,True,72977.0,130301.11,711.0,5.0,19.0,189.4,65.95
3049950030,BK,11210,83261.0,336.0,61.0,192.0,149.0,2.0,17.0,False,1003787.0,0.0,1951.0,1.0,672.0,682.4,10.64
1018470068,MN,10026,74140.0,59.0,8.0,192.0,152.0,0.0,2.0,True,919945.0,450841.08999999997,998.0,1.0,66.0,253.9,4.26
1016220020,MN,10029,38308.0,76.0,3.0,190.0,158.0,0.0,0.0,False,32977.0,2104996.9299999997,473.0,1.0,71.0,318.4,74.9
2028810084,BX,10453,35482.0,147.0,6.0,189.0,160.0,0.0,6.0,False,147098.0,0.0,563.0,0.0,233.0,365.2,32.95
2031640005,BX,10468,46624.0,36.0,2.0,189.0,182.0,0.0,2.0,False,59214.0,0.0,232.0,0.0,663.0,242.2,19.15
2025100040,BX,10452,37854.0,129.0,14.0,188.0,152.0,0.0,0.0,True,1165944.0,3988299.0100000002,1882.0,6.0,479.0,775.2,120.63
2028420059,BX,10452,37854.0,60.0,6.0,187.0,176.0,0.0,8.0,False,58485.0,59674.07,390.0,0.0,36.0,187.0,10.62
2024590034,BX,10451,37111.0,81.0,3.0,187.0,160.0,0.0,5.0,True,103509.0,91456.93000000001,523.0,16.0,433.0,306.1,16.13
3013260001,BK,11225,85201.0,156.0,19.0,186.0,140.0,3.0,0.0,False,25549.0,172671.11,1022.0,6.0,375.0,396.3,118.4
2032610092,BX,10463,72952.0,97.0,10.0,186.0,153.0,0.0,2.0,False,55398.0,104889.2,733.0,0.0,41.0,251.2,97.3
2045120052,BX,10467,47806.0,59.0,25.0,182.0,147.0,1.0,44.0,True,46822.0,0.0,947.0,1.0,3.0,322.6,29.71
4067020001,QN,11367,75804.0,144.0,16.0,182.0,159.0,1.0,11.0,False,28686.0,4772995.53,1384.0,0.0,134.0,661.2,30.63
2030220001,BX,10458,42107.0,72.0,13.0,182.0,155.0,2.0,7.0,False,85603.0,16228.65,605.0,5.0,34.0,292.0,43.58
3044520085,BK,11239,35675.0,1598.0,66.0,181.0,158.0,2.0,6.0,False,17882.0,-218264.72,790.0,8.0,1106.0,599.0,22.79
3050590016,BK,11226,81084.0,42.0,3.0,181.0,153.0,2.0,14.0,True,86107.0,1357132.4000000001,1065.0,6.0,72.0,473.4,106.4
1021580054,MN,10040,64022.0,48.0,1.0,181.0,138.0,0.0,6.0,True,85953.0,0.0,792.0,7.0,22.0,275.8,115.17
4067010001,QN,11367,75804.0,144.0,19.0,180.0,131.0,0.0,6.0,False,20313.0,5141928.89,439.0,0.0,119.0,434.0,25.52
2024560163,BX,10456,35676.0,101.0,8.0,180.0,150.0,0.0,17.0,False,83071.0,227.71,974.0,0.0,277.0,394.6,134.14
2032100059,BX,10453,35482.0,69.0,17.0,179.0,132.0,0.0,12.0,False,555927.0,-111.35,1362.0,0.0,571.0,563.5,122.67
2033220057,BX,10468,46624.0,111.0,23.0,178.0,133.0,0.0,9.0,False,243765.0,108501.5,478.0,0.0,57.0,218.7,53.22
2024870042,BX,10452,37854.0,122.0,5.0,176.0,135.0,0.0,3.0,False,13085.0,0.0,707.0,0.0,55.0,279.3,2.69
2031230056,BX,10460,36067.0,28.0,3.0,176.0,159.0,1.0,0.0,True,101330.0,76915.39,719.0,3.0,20.0,207.5,77.7
1017670016,MN,10035,40556.0,134.0,4.0,175.0,137.0,1.0,7.0,False,999602.0,160854.71,802.0,0.0,286.0,342.7,87.36
3014030025,BK,11213,62040.0,60.0,1.0,175.0,146.0,0.0,3.0,False,3776.0,0.0,432.0,0.0,104.0,185.7,23.19
2022690001,BX,10454,27500.0,173.0,13.0,174.0,163.0,0.0,2.0,True,470540.0,87827.70999999999,806.0,1.0,350.0,402.8,27.16
